answer_text	intent_texts
Мы предоставляем только программу для работы с маркетплейсами SelSup. Услуги у нас есть только по обучению работы с программой	NULL
Налоговая ставка это процент налогов, который вы платите для вашей организации в регионе. Налоговая ставка может зависеть от региона.\n\nНалоговую ставку вы можете указать на странице редактирования организации, нажав на название:\nhttps://selsup.ru/application/organizations/\n\nЗаполните поле налоговая ставка на странице организации	NULL
Что вы хотите отменить?	NULL
Ошибка возникает, когда вы пытаетесь скачать УПД или перейти на следующий шаг в заказе на маркетплейс. Вам необходимо указать Внешний номер заказа на странице, чтобы исправить эту ошибку.	NULL
Вы можете изменить ячейку после оприходования товаров, отменив оприходование и исправив ячейку. Единственный момент - повторное оприходование может привести к повторному принятию на склад товаров - если они уже отгружались или резервировались под какие-то заказы.	NULL
Чтобы распечатать маркировку, необходимо добавить этикетки на странице Этикеток:\nhttps://selsup.ru/application/labels/\n\nВы можете нажать Добавить все - чтобы добавить все этикетки. После этого у вас появятся кнопки печати этикеток на странице заказов и приемки на склад. Если вы настроите принтеры - этикетки будут сразу отправляться на принтер.	NULL
Импорт заказов завершается, когда кнопка импорта перестанет быть серой. Результат импорт будет показываться на странице, если есть ошибки или будет скрыт за надписью "Результаты импорта", если ошибок нет.	NULL
Вы можете массово изменить карточки на маркетплейсе через Excel файл.\n\nСначала необходимо выгрузить карточки в Excel, через Товары -> кнопка Экспорт\nhttps://selsup.ru/application/products\n\nПосле чего поправить нужные вам параметры и загрузить обратно в SelSup, через Товары -> Импорт, указав нужные маркетплейсы, в которые отправить карточки\nhttps://selsup.ru/application/productsImport/\n\nПодробнее: https://selsup.ru/help/massovoe-redaktirovanie-opisaniya-wildberries-i-ozon/	NULL
Вы можете импортировать карточки с Ozon на странице:\nhttps://selsup.ru/application/productsImport/ozon\nНажмите кнопку Импортировать карточки и появится задача по импорту. Когда она завершится, вы увидите результат\n\nТам же в таблице показываются ошибки импорта, если они произойдут.	NULL
Нет, по артикулу маркетплейсов и штрих-коду карточки не могут дублироваться	NULL
Вам тоже хорошего вечера	NULL
При импорте с Wildberries в качестве артикула подставляется номер карточки - объединяющий несколько товаров/цветов на одну карточку. Это единственный способ объединить товары в SelSup на одну карточку.\n\nВы можете поправить артикул массово через Excel, на странице Товары -> кнопка Экспорт и загрузить измененный файл на странице Товары -> кнопка Импорт	NULL
Идентификатор OMS ID используется для интеграции с Честным знаком. Его необходимо скопировать со страницы Станции управления заказами -> вкладка Устройства, как описано в инструкции на странице:\nhttps://selsup.ru/application/integration/crpt\n\nhttps://selsup.ru/images/oms_id.png	NULL
У СберМегаМаркета нет API по созданию карточек, поэтому передать товары в СберМегаМаркет вы можете через YML. Скопируйте ссылку на YML и укажите ее в кабинете СберМегаМаркет\n\nСсылку и видео по настройке вы можете посмотреть на странице:\nhttps://selsup.ru/application/integration/sbermegamarket\n\nКогда YML обработается СберМегаМаркетом, вы сможете дозаполнить карточки в интерфейсе самого СберМегаМаркета на странице:\nhttps://partner.sbermegamarket.ru/main/catalog/dashboard?saleScheme=DELIVERY&context=NoMatch\n\nНажмите кнопку Создать товар и заполните данные карточки.	NULL
Ошибка означает, что вы либо выставляете остатки не на тот склад - если товар является КГТ, либо у вас неправильно заполнены габариты товаров в карточке на маркетплейсе.\n\nПодробнее про ошибки обновления остатков, все ошибки отдаются маркетплейсом:\nhttps://selsup.ru/help/oshibki-pri-obnovlenii-ostatkov/	NULL
Ошибка возникает, когда вы неправильно указали ключ API Wildberries. Не копируйте ключ выделением, используйте только кнопки копирования ключа.\n\nТак же проверьте, что вы правильно выбрали тип ключа, каждый ключ в интеграциях Wildberries должен быть отдельный. Для ключа статистики необходимо обязательно выбрать переключатель Статистики - иначе будет возникать указанная ошибка.	NULL
Импорт карточек запускается из самой программы 1С, SelSup не может инициировать такой обмен, он только принимает данные. Настроить импорт карточек вы можете на странице:\nhttps://selsup.ru/application/integration/1c\n\nПодробная инструкция для разных конфигураций 1С вы можете найти на странице:\nhttps://selsup.ru/help/integratsiya-s-1c/	NULL
Если вы используете адресное хранение, то вы можете провести инвентаризацию через специальное задание на ТСД\nhttps://selsup.ru/application/task/inventoryBarcode\n\nЕсли вы НЕ используете адресное хранение, то инвентаризация возможна только через Excel файл или через раздел остатки на складе:\nhttps://selsup.ru/application/stocks/	NULL
Ошибка возникает, когда вы неправильно указали ключ API Wildberries. Не копируйте ключ выделением, используйте только кнопки копирования ключа.\n\nТак же проверьте, что вы правильно выбрали тип ключа, каждый ключ в интеграциях Wildberries должен быть отдельный. Для ключа необходимо обязательно выбрать переключатель Стандартный - иначе будет возникать указанная ошибка.	NULL
SelSup умеет автоматически получать штрих-коды для товаров. На странице Данные -> Штрих-коды вы можете настроить способ получения штрих-кодов:\nhttps://selsup.ru/application/barcodes/\n\nПо умолчанию стоит Маркетплейсы и штрих-код берется из Wildberries. Он может использоваться сразу для всех маркетплейсов, тк уникальность штрих-кода они проверяют только в рамках кабинета.\n\nЕсли вы работаете с Честным знаком или с маркировкой, то лучше выбрать этот пункт и тогда, SelSup будет автоматически получать штрих-код из Честного знака, который формирует GS1 Rus. Для этого нужно подать заявку на интеграцию Честного знака с GS1 Rus.	NULL
Для отгрузки на Wildberries, скачивать нужно всегда УПД с маркировкой - в нем фильтруются товары у которых нет кодов маркировки, который требует Wildberries.	NULL
Аккаунт удалится автоматически через 2 недели. Удаление организации приводит к удалению всех ключей и связанных с ними данных.	NULL
Опишите вашу проблему, мы постараемся ее решить	NULL
Вы можете принять товары на склад через приемку на склад. В меню нажмите пункт Склад и откроется страница с приемками на склад:\nhttps://selsup.ru/application/incomeOrders/\n\nНажмите кнопку Создать поступление, чтобы создать новое поступление товаров на склад. Укажите товары, которые вы принимаете. \nМожно загрузить с помощью файла, но в нём есть ограничение по количеству в 500 строк. Если у вас в приёмке больше 500 товаров, загрузите этот список несколько раз.\n\nПосле нажмите оприходовать - чтобы принять остатки на склад.	NULL
В тарифе у вас ограничено количество товаров, которые вы можете добавить в SelSup. Причем учитываются не карточки товаров и не цвета, которые отображаются на странице Товары, а конкретные размеры в карточках (если конечно ваша категория разделяет товары по размерам и цветам).	NULL
На странице импорта под кнопками указаны ошибки импорта товаров, вы можете в таблице прокрутить вправо и увидите сообщение об ошибке и для какого товара эта ошибка. Напишите мне текст возникающий ошибки, если она не понятна	NULL
На тестовом и платном тарифе всегда есть лимит на количество актуальных товаров, которые вы можете импортировать. Посмотреть свой лимит вы можете на странице Тариф:\nhttps://selsup.ru/application/tariffs/\n\nУменьшить количество товаров, вы можете отправив какие-то товары в Архив. Сделать это можно на странице Товары - выбрав галочками нужные товары и нажать кнопку Отправить в архив.\nhttps://selsup.ru/application/products\n\nТак же вы можете массово отправить в Архив товары, выгрузив Excel на странице Товары -> кнопка Экспорт. Проставьте для неактуальных товаров в колонке Архив значение Да и загрузите обратно на странице Товары -> кнопка Импорт\nhttps://selsup.ru/application/productsImport/	NULL
В поле Бренд нельзя вводить произвольный текст - бренд необходимо выбирать из выпадающего списка, когда вы вводите текст, обязательно.\n\nДобавить нового бренда вы можете на странице Данные -> Бренды:\nhttps://selsup.ru/application/brands/	NULL
Мы к сожалению не можем подсказать, какую категорию выбрать, тк категорий очень много. Вы можете поиска на маркетплейсе товар конкурента, скопировать ссылку на товар и вставить его в блоке справа при добавлении новой карточки. У вас будет добавлена нужная категория и они отобразится на странице.\nhttps://selsup.ru/application/model/new	NULL
Закрывающие документы появляются после завершения оплаченного периода, когда мы можем предоставить вам акты и УПД	NULL
Пробный период или оплаченная подписка уже закончились. Вам необходимо оплатить тариф на странице:\nhttps://selsup.ru/application/tariffs/\n\nКакой у вас вопрос?	NULL
создание карточек	NULL
Загрузить фотографии товаров вы можете в поле выбора изображения на карточке товара, "Перетащите или выберите изображения товаров"\n\nhttps://selsup.ru/wp-content/uploads/2024/01/snimok-ekrana-2024-01-12-v-11.05.45.png\n\nТак же вы можете массово загружать изображения в карточки товаров на странице Товары -> Фото\nhttps://selsup.ru/application/photo/	NULL
Распечатать этикетки заказов вы можете на странице заказов со своего склада:\nhttps://selsup.ru/application/fbsOrders/\n\nНажмите импортировать заказы, чтобы импортировать новые заказы с маркетплейсов. Далее включите фильтр без этикеток на странице и нажмите кнопку "Обновить статусы и этикетки заказов", чтобы загрузились этикетки. Как только не останется заказов в списке отключите фильтр Без этикеток.\n\nПри загрузке этикеток у вас будет меняться статус заказа на маркетплейсе, тк этикетку можно получить только в определенном статусе или прикрепив к поставке заказ - в случае с Wildberries.\n\nТак же вы можете добавить этикетки, чтобы непосредственно печатать этикетки на принтер, а не скачивать в PDF.\nДля этого зайдите на страницу:\nhttps://selsup.ru/application/labels/\nи нажмите кнопку Добавить все. Так же вам нужно установить Java и QzTray на этой странице для печати этикеток непосредственно на принтер.	NULL
Вы можете создать структуру склада на странице склада.\nhttps://selsup.ru/application/warehouses/\n\nДалее в приемке на склад вы можете указать ячейку хранения для каждого товара, а в заказах на отгрузку будет указана ячейка, в которой находится товар.	NULL
Налог для вашей системы налогооблажения вы можете посмотреть на странице Финансы -> Налоги:\nhttps://selsup.ru/application/taxes/\n\nНалог рассчитывается для УСН по данным о продаже с маркетплейсов. После подключения загружаются данные за 3 месяца (за такой период отдает данные Wildberries по API и за больший период получить данные по налогу невозможно, другие маркетплейсы тоже имеют ограничения по периоду, за который отдаются данные), поэтому посчитать налог вы сможете, если уже подключены около года, за который хотите посчитать данные по налогам.	NULL
Выгрузить продажи вы можете в разделе Товарная аналитика:\nhttps://selsup.ru/application/productAnalytics/\n\nТак же можно выгрузить отчет в разделе Финансы:\nhttps://selsup.ru/application/financeReport/	NULL
Выручку и сколько занимает закупочная цена вы можете посмотреть в разделе Финансы:\nhttps://selsup.ru/application/financeReport/	NULL
При включении галочек Синхронизация остатков и Онлайн Остатки, SelSup импортирует новые заказы каждую минуту, резервирует остатки и автоматически обновляет остатки на всю группу товаров - которые связаны по остаткам.\nhttps://selsup.ru/application/organizations/	NULL
Оформить подписку вы можете на странице Тариф:\nhttps://selsup.ru/application/tariffs/	NULL
Остановить или отменить тариф нельзя. Тариф сам завершится, когда закончится оплаченный период.	NULL
Сертификат качества вы можете получить в фирмах, которые занимаются выдачей сертификатов, деклараций качества или отказных писем на товары. Найти их вы можете в интернете, мы не оказываем услуги по получения сертификатов качества.\n\nПосле получения вы можете добавить сертификат в SelSup на странице Данные -> Сертификаты:\nhttps://selsup.ru/application/certificates/\nОн будет автоматически подставляться к товарам по бренду и категории, при отправке документа на ввод в оборот в Честном знаке и при создании карточек на маркетплейсах, которые позволяют указывать сертификаты.	NULL
промо	NULL
При оплате тарифа, если у вас еще не закончился тестовый период, то оставшиеся дни будут добавлены к вашему платному тарифу. Поэтому вы можете сразу оплачивать тариф	NULL
Вы можете посмотреть инструкцию по переносу карточке в Озон с других маркетплейсов по ссылке:\nhttps://www.youtube.com/watch?v=ADIVlaO87vo	NULL
Артикул на Wildberries запрещено изменять после отгрузки товара. Поэтому через SelSup вы тоже не сможете поменять артикул Wildberries.	NULL
Очень рады за вас	NULL
Вам необходимо у вашего склад в SelSup указать связи со складом маркетплейса, на который передаются остатки. В разделе Склад -> Склады найдите склад на котором проставляете остатки и нажмите на его название. Найдите поле "Связи со складами маркетплейсов", выберите нужный маркетплейс в выпадающем поле, организацию, если у вас их несколько и выберите склад маркетплейса, на который необходимо передавать остатки из SelSup. Нажмите кнопку Добавить.\nНеобходимо добавить все связи с маркетплейсами.\n\nПодробнее:\nhttps://selsup.ru/help/rabota-so-skladami/	NULL
склад	NULL
Принтеры можно указать только после настройки и установки приложений Java и QzTray на странице:\nhttps://selsup.ru/application/labels/\n\nНеобходимо дождаться проверки и покажется сообщения со ссылками для настройки. Так же чтобы не ждать вы можете зайти на страницу помощи и там есть все нужные ссылки:\nhttps://selsup.ru/help/nastrojka-printera/\n\nТолько после установки и запуска программы у вас появится возможность выбрать принтер из установленных в системе и печатать на него этикетки. Без этого вы можете только скачать этикетки в PDF	NULL
Подождите, оператор вам обязательно ответит	NULL
Удалить ТНВЭД нельзя в категории, только изменить ТНВЭД на новый. У любого товара всегда есть какой-то код ТНВЭД	NULL
Обычно время ответа оператора зависит от вашего тарифа. Время ответа для вашего тарифа вы можете посмотреть на странице:https://selsup.ru/tariffs/ \n\nОднако иногда нам требуется больше времени из-за большого количество обращений. Мы приносим извинения за длительное ожидание. Наши операторы обязательно подключатся и помогут вам.	NULL
В Aliexpress нельзя указать склады при передаче остатков - поэтому всегда используется 1 склад и указывать связь с ним не нужно	NULL
Публичный договор-оферту вы можете посмотреть на сайте SelSup:\nhttps://selsup.ru/dogovor-offerta/\n\nТк договор публичный, подписывать его не нужно.	NULL
Если вы измените параметры карточки в SelSup и включите переключатель маркетплейса, рядом с кнопкой Сохранить, то для Wildberries, Ozon и Aliexpress параметры отправятся обновленные.\n\nКартинка изменится только на Ozon - маркетплейсы, которые принимают картинки вместе с карточкой товара. Для других нужно нажимать кнопку обновления изображений	NULL
Нет, все тарифы идут в комплексе и специальных тарифов у нас сейчас нет.\n\nТарифы указаны на сайте:\nhttps://selsup.ru/tariffs/	NULL
Ошибка связана с тем, что по штрих-коду в карточке SelSup не находится товар в Wildberries. Возможны несколько вариантов:\n\n1. Вы не создали товар или конкретный размер в Wildberries, но в SelSup при этом заполнен ID Wildberries. Попробуйте найти товар в поиске карточек Wildberries. Если карточка не находится - значит вы не добавили ее, либо указали другой штрих-код. Создайте карточку или проставьте правильный штрих-код в карточке.\n2. У вас несколько штрих-кодов в карточке и один из них не нужно использовать в Wildberries. В этом случае проставьте штрих-коду, что его не нужно использовать в Wildberries, нажав на соответствующую иконку справа от штрих-кода на карточке товара.	NULL
Да, вы можете использовать ТСД для формирования приемки на склад и заказов на отгрузку. В верхней части таблицы есть поле для быстрого добавления товаров по штрих-коду	NULL
Вы можете самостоятельно добавить организацию в ваш тариф. Перейдите на страницу управления тарифом:\nhttps://selsup.ru/application/tariffs/\n\nНажмите кнопку Изменить тариф, добавьте нужное количество организаций, нажав на плюсик около лимита.\n\nЕсли у вас бесплатный тариф, необходимо сначала перейти на платный тариф для добавления организаций	NULL
Да, для продажи на СберМегаМаркет сайт вам не нужен - сам SelSup умеет отдавать файл YML.\n\nПодробнее про интеграцию со СберМегаМаркет:\nhttps://selsup.ru/application/integration/sbermegamarket	NULL
Вы можете зарегистрироваться на сайте:\nhttps://selsup.ru/signup/\n\nСразу после регистрации, у вас активируется 7 дней бесплатного тарифа. Вы можете попробовать все возможности сервиса.\nОтправить или создать на маркетплейсе вы можете не более 20 карточек моделей	NULL
Ошибка означает, что у вас не запущено приложение QzTray или произошли какие-то проблемы в его работе. Проверьте показывается в вашей системе на панели быстрого запуска иконка в виде принтера белого или зеленого цвета.\n\nЕсли иконки нет - запустите приложение QzTray из меню Пуск. Если иконка есть попробуйте перезагрузить приложение QzTray, нажав правой кнопкой мыши и выбрав Reload\n\nПодробнее:\nhttps://selsup.ru/help/qz-tray/#vozmozhnye-oshibki-pri-ustanovke-i-pechati	NULL
Ошибка связана с тем, что скидка на товар в некоторых маркетплейсах не может быть меньше 5%. Вам необходимо увеличить скидку на товар, чтобы проставить новую цену со скидкой\n\nЦенами вы можете управлять на странице Цены:\nhttps://selsup.ru/application/prices/	NULL
Этикетки на товар вы можете настроить на странице Данные -> Этикетки\nhttps://selsup.ru/application/labels/\n\nНастройка принтеров:\nhttps://selsup.ru/help/nastrojka-printera/	NULL
Вы можете убрать с остатков товары, которые отгружаются на склад маркетплейса и которые уже приняты на ваш склад в SelSup, включив переключатель Списать с остатков в заказе на маркетплейс и выбрав склад для списания остатков - если их у вас несколько.	NULL
Вы можете связать товары в SelSup с карточками на маркетплейсе без импорта с помощью кнопки Найти и связать на карточке товара, нажав иконку соответствующего маркетплейса на карточке.\nhttps://selsup.ru/wp-content/uploads/2023/04/snimok-ekrana-2023-04-27-v-14.13.37.png\n\nТак же вы можете запустить массовую связку карточек через раздел Мои организации, в колонке Связи карточек нажав соответствующую кнопку. Данная возможность доступна для маркетплейсов Wildberries и Ozon.	NULL
Вы можете перенести товары на Яндекс.Маркет массово через Excel:\nhttps://selsup.ru/help/yandeks-market/\n\nТак же вы можете перенести товары через YML:\nhttps://selsup.ru/help/zagruzka-kartochek-v-yandeks-market-fajlom-yml/	NULL
Вы можете установить плагин со страницы:\nhttps://selsup.ru/extensions/	NULL
Вы можете указать категории на странице Данные -> Категории\nhttps://selsup.ru/application/categories/	NULL
Вам необходимо добавить этикетки на странице Данные -> Этикетки\nhttps://selsup.ru/application/labels/\n\nЗайдите на страницу и нажмите кнопку Добавить все, чтобы добавить все стандартные этикетки. Устанавливать QzTray не обязательно, если вы хотите просто скачивать этикетки	NULL
Если вы отправляли одну карточку через интерфейс:\n1)Возможно возникли какие-то ошибки при создании карточки. Обновите страницу карточки и посмотрите, не указана ли сверху страницы ошибка создания карточки в Яндекс.Маркет\n2)Иногда создание карточки в Яндекс.Маркете может занимать несколько десятков минут, возможно нужно подождать, пока карточка появится\n3)Пришлите нам ссылку на карточку, которую создавали\n\nЕсли вы массово отправляли карточки - возможно у вас тестовый период, поэтому отправить вы можете только 20 карточек на создание.	NULL
Нет, сейчас такой возможности нет, вы можете загрузить аналитику только с Wildberries.	NULL
Вы можете настраивать только роли пользователя. Некоторые роли можно комбинировать, но возможности установить, что доступно для той или иной роли, нет.	NULL
УПД	NULL
Скачать файл вы можете перейдя в созданный заказ и нажав кнопку УПД с маркировкой, который должен отображаться на странице\nhttps://selsup.ru/application/orders/\n\nЕсли он не отображается и при этом показывается успешное сообщение, скорее всего вы удалили заказ. Не нужно удалять заказы, если вы хотите загрузить новый файл - при загрузке произойдет обновление заказа.\nЧтобы восстановить заказ включите фильтр Удаленные заказы и нажмите кнопку восстановления заказа справа на странице:\nhttps://selsup.ru/application/orders/?actual=false&ascending=false&count=true&deleted=true&limit=100&sortBy=CREATEDDATE&type=FBM	NULL
Тариф активируется автоматически, если вы оплачиваете карточкой. Достаточно зайти на страницу https://selsup.ru/application/tariffs/ найти нужный тариф и перейти на страницу проверки оплаты тарифа. Как только оплата пройдет — тариф активируется автоматически. Возможны задержки в несколько десятков минут при оплате через СБП\n\nТак же если у вас появилась надпись, что тариф оплачен - обновите страницу, тк у вас может быть сохранена на разных вкладках старая информация\n\nЕсли вы оплачивали по счету, то пришлите платежное поручение. Как только мы увидим поступление средств, тариф активируется.	NULL
Удалить карточки вы можете на странице Товары:\nhttps://selsup.ru/application/products\nНажав красный крестик справа, при этом они будут удалены полностью (если это возможно). Так же на странице можно добавить товары в архив, нажав кнопку рядом с крестиком (в этом случае товары скроются и не будут учитываться в лимитах, но при импорте товары не будут создаваться заново, в отличии от полного удаления)\n\nТак же удалить карточки вы можете через Excel, скачав выгрузку на странице Товары -> кнопка Экспорт. Проставить Да в колонке Удалить полностью товар и загрузить обратно на странице Товары -> кнопка Импорт\n\nТак же вы можете удалить все товары на странице Мои организации:\nhttps://selsup.ru/application/organizations/\nНажмите кнопку в колонке Удалить карточки и введите код, который придет на вашу электронную почту.\n\nЕсли у вас возникла ошибка при удалении, напишите текст возникающей ошибки	NULL
В ситуации, когда на товар есть заказы - удалить его не получится. Вы можете поместить товар в Архив, если он больше не актуальный и вы хотите его скрыть, а так же не учитывать в лимитах на количество товаров.\n\nЛибо вы можете объединить его с другим товаров, на который перенести данные, через интерфейс объединения:\nhttps://selsup.ru/application/productsImport/merge/	NULL
Через SelSup вы можете получить маркировку по схеме производителя или импортера товаров. \n\nМы не продаем коды маркировки и не консультируем по юридическим вопросам. Вам следует обратиться в соответствующие организации.	NULL
вб	NULL
ок	NULL
Расхождения могут по нескольким причинам:\n1)В разделе аналитика показывается строка Без карточки. Это означает, что у вас есть данные аналитики, которые не привязаны к карточке. Нужно нажать на ссылку и запустить импорт карточек (если вы его не делали до этого и добавляли товары на маркетплейсе) или нажать кнопку обновить - чтобы запустить привязку данных к карточкам.\n2)Вы сравниваете данные с неправильным отчетом на маркетплейсе. В некоторых отчетах маркетплейсов есть расхождения в данных - мы ориентируемся всегда на финансовый отчет - тк по нему вам приходят оплаты. Подробнее про сравнение данных вы можете посмотреть в видеоуроках:\nhttps://selsup.ru/application/tutorials/3\n3)Если вы проверили и данные не сходятся, нам необходима информация из финансового отчета в Excel - скачайте и пришлите нам ее для проверки	NULL
Это старый тариф, а также на тарифе Новичок ограничение по количеству товаров не более 300 и по выручке. Если у вас больше товаров, тариф Новичок будет не доступен.\n\nЧтобы уменьшить лимиты на своем тарифе, напишите мне "Как уменьшить лимиты на тарифе"	NULL
Если вы используете уникальные коды, просто отсканируйте штрих-код места хранения и потом уникальный код товара - товар будет размещен в ячейке.\n\nЕсли вы не используете уникальные коды, то изменить место хранения можно на странице Остатки на складе, если у вас товар хранится только в 1 ячейке. Если у вас товар может храниться в разных ячейках, то ее можно изменить через страницу остатков:\nhttps://selsup.ru/application/items/?status=IN_STOCK	NULL
FBO доступно на всех тарифах	NULL
Настройка Игнорировать дубликаты с одинаковым ключом используется для того, чтобы SelSup не останавливал объединение карточек, когда находит дублирующееся значение ключа объединения у двух разных карточек с одного маркетплейса, а продолжил объединять другие карточки, игнорирую плохой ключ.\n\nТакие ситуации могут возникать например, если вы объединяете по артикулу Wildberries, а у вас есть некоторые товары с разными размерами. В этом случае у этих товаров артикул Wildberries будет одинаковый и при включении галочки товар не будет объединен.	NULL
Проверьте несколько пунктов:\n1)У вас есть связь с нужным складом Яндекс.Маркета на странице склада:\nhttps://selsup.ru/application/warehouses/\n2)Зайдите на карточку, перейдите на вкладку Остатки FBS. Проверьте, отсутствие иконок в колонке Ошибка со значком Яндекс.Маркета или красных крестиков.\nhttps://selsup.ru/wp-content/uploads/2023/03/snimok-ekrana-2023-03-10-v-22.14.22.png\n3)Включите переключать обновлять на маркетплейсе. Попробуйте изменить остатки - нажав на иконку галочки и проверьте отсутствие ошибок при обновлении остатков\n4)Попробуйте запустить Импорт с обновлением остатков на странице, нажав на соответствующую кнопку:\nhttps://selsup.ru/application/fbsOrders/\nЕе нужно запускать, когда вы массово меняете остатки товаров, например через инвентаризацию и хотя бы раз в день, когда вы начинаете собирать заказы.\n5)Если ничего не помогло, напишите нам артикул Яндекс.Маркета с которым возникает проблема	NULL
Распакуйте архив с актом Wildberries и откройте Excel документ. Проверьте, есть ли в нем КИЗы в соответствующей колонке. Иногда Wildberries отдает акт без КИЗов и нужно подождать, пока они появятся или напишите в поддержку Wildberries, что у вас нет КИЗов в акте.\n\nЕсли КИЗы есть, напишите нам КИЗы есть и приложите файл акта\n\nЦены не должны выгружаться по требованию Wildberries, иначе УПД будет отклонен.	NULL
Цены не должны выгружаться в УПД ДОП по требованию Wildberries, иначе УПД будет отклонен.	NULL
Основной отчет по которому вы можете понять прибыль и маржинальность товара, это Товарная аналитика. Чтобы отчет был корректным, необходимо сначала заполнить себестоимость товара на странице Цены\nhttps://selsup.ru/application/productAnalytics/	NULL
